Date,Open,High,Low,Close,Adj Close,Volume
2025-10-15,184.8,184.87,177.29,179.83,179.82,214450500
2025-10-16,182.23,183.28,179.77,181.81,181.7999,179723297
2025-10-17,180.18,184.1,179.75,183.22,183.2098,173135203
2025-10-20,183.13,185.2,181.73,182.64,182.6298,128544703
2025-10-21,182.785,182.785,179.8,181.16,181.1499,124240203
2025-10-22,181.14,183.44,176.76,180.28,180.27,162249594
2025-10-23,180.42,183.03,179.7901,182.16,182.1499,111363695
2025-10-24,183.835,187.47,183.5,186.26,186.2496,131296703
2025-10-27,189.99,192.0,188.4318,191.49,191.4793,153452703
2025-10-28,193.05,203.15,191.91,201.03,201.0188,297986219
2025-10-29,207.98,212.1899,204.775,207.04,207.0285,308829594
2025-10-30,205.15,206.16,201.41,202.89,202.8787,178864406
2025-10-31,206.45,207.97,202.07,202.49,202.4787,179802203
2025-11-03,208.08,211.335,205.56,206.88,206.8685,180267297
2025-11-04,203.0,203.9699,197.93,198.69,198.6789,188919297
2025-11-05,198.77,202.92,194.65,195.21,195.1991,171350297
2025-11-06,196.42,197.62,186.38,188.08,188.0695,223029797
2025-11-07,184.9,188.32,178.91,188.15,188.1395,264942312
2025-11-10,195.11,199.94,193.79,199.05,199.0389,198897109
2025-11-11,195.155,195.42,191.3,193.16,193.1492,176483297
2025-11-12,195.72,195.89,191.13,193.8,193.7892,154935297
2025-11-13,191.05,191.44,183.85,186.86,186.8496,207423109
2025-11-14,182.86,191.01,180.58,190.17,190.1594,186591906
2025-11-17,185.965,189.0,184.32,186.6,186.5896,173628891
2025-11-18,183.375,184.8,179.65,181.36,181.3499,213598891
2025-11-19,184.79,187.855,182.8301,186.52,186.5096,247246406
2025-11-20,195.95,196.0,179.85,180.64,180.6299,343504812
2025-11-21,181.235,184.56,172.93,178.88,178.87,346926219
2025-11-24,179.49,183.5,176.48,182.55,182.5398,256618297
2025-11-25,174.91,178.16,169.55,177.82,177.8101,320600281
2025-11-26,181.63,182.91,178.24,180.26,180.25,183852000
2025-11-28,179.01,179.29,176.5,177.0,176.9901,121178000
2025-12-01,174.76,180.3,173.68,179.92,179.91,181564000
2025-12-02,181.76,185.66,180.0,181.46,181.4499,182632188
2025-12-03,181.08,182.45,179.1101,179.59,179.58,165138000
2025-12-04,181.62,184.515,179.96,183.38,183.38,167364891
2025-12-05,183.89,184.66,180.91,182.41,182.41,143971109
2025-12-08,182.64,188.0,182.4,185.55,185.55,204378094
2025-12-09,185.56,185.7167,183.32,184.97,184.97,144719703
2025-12-10,184.965,185.48,182.035,183.78,183.78,162785406
2025-12-11,180.275,181.32,176.62,180.93,180.93,182136609
2025-12-12,181.11,182.82,174.62,175.02,175.02,204274891
2025-12-15,177.936,178.415,175.03,176.29,176.29,164775594
2025-12-16,176.26,178.49,174.9,177.72,177.72,148588098
